DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2013,5:00,,,,,,165 STREET                      ,SOUTH ROAD                      ,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,209953,BUS,PASSENGER VEHICLE,,,
01/01/2013,5:00,QUEENS,11372,40.7509158,-73.8731615,"(40.7509158, -73.8731615)",94 STREET                       ,37 AVENUE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,281033,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
01/01/2013,5:00,BRONX,10459,40.8260118,-73.8863514,"(40.8260118, -73.8863514)",WHITLOCK AVENUE                 ,LOWELL STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,,,,,76932,SPORT UTILITY / STATION WAGON,,,,
01/01/2013,4:57,,,40.7037275,-73.9597809,"(40.7037275, -73.9597809)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2988211,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2013,4:55,BROOKLYN,11236,40.6447847,-73.9198192,"(40.6447847, -73.9198192)",DITMAS AVENUE                   ,EAST 83 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,136771,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,4:45,MANHATTAN,10019,40.7617706,-73.979056,"(40.7617706, -73.979056)",6 AVENUE                        ,WEST 53 STREET                  ,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,39875,TAXI,LIVERY VEHICLE,,,
01/01/2013,4:33,MANHATTAN,10001,40.7482897,-73.9881767,"(40.7482897, -73.9881767)",WEST 32 STREET                  ,BROADWAY                        ,,1,0,1,0,0,0,0,0,Unspecified,,,,,27828,PASSENGER VEHICLE,,,,
01/01/2013,4:30,,,,,,MERRICK BOULEVARD               ,222 STREET                      ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,221920,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,4:30,,,,,,CRESCENT STREET                 ,QUEENS PLAZA NORTH              ,,0,0,0,0,0,0,0,0,Prescription Medication,Other Vehicular,,,,274536,PASSENGER VEHICLE,TAXI,,,
01/01/2013,4:30,BROOKLYN,11249,40.718967,-73.9610284,"(40.718967, -73.9610284)",NORTH 6 STREET                  ,WYTHE AVENUE                    ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,199013,TAXI,PASSENGER VEHICLE,,,
